type,state,timeStamp,Ax,Ay,Az,Gx,Gy,Gz
tail,0,1592196542114,12856,-472,10784,-1840,864,-1343
tail,0,1592196542159,13784,-224,10468,-1792,283,-223
tail,0,1592196542209,12652,-504,10840,-1792,488,1359
tail,0,1592196542259,13228,-396,10968,-1792,116,309
tail,0,1592196542311,13280,-348,10888,-1840,-39,-167
tail,0,1592196542359,13412,-272,10604,-1808,80,-210
tail,0,1592196542409,13180,-252,10800,-1792,-296,-326
tail,0,1592196542459,13460,-184,10812,-1824,-50,-382
tail,0,1592196542509,13300,-344,10744,-1792,-34,-138
tail,0,1592196542560,13252,-320,11076,-1776,-315,-116
tail,0,1592196542611,13348,-328,10760,-1808,-235,-372
tail,0,1592196542660,13364,-112,10608,-1776,-322,-457
tail,0,1592196542718,13276,-256,10724,-1808,-79,-492
tail,0,1592196542759,13336,-160,10560,-1792,-206,-515
tail,0,1592196542811,13420,-88,10548,-1792,-231,-462
tail,0,1592196542861,13384,-132,10612,-1808,-256,-642
tail,0,1592196542911,13656,-244,10740,-1808,-160,-982
tail,0,1592196542960,13568,96,10284,-1824,-36,-1053
tail,0,1592196543010,13472,-212,10576,-1776,-214,-1473
tail,0,1592196543059,13972,316,9880,-1792,86,-1234
tail,0,1592196543116,13988,276,9984,-1808,-22,-1587
tail,0,1592196543159,14032,320,10004,-1776,477,-1783
tail,0,1592196543210,14384,916,9052,-1808,-71,-1112
tail,0,1592196543259,14372,884,9088,-1792,257,-387
tail,0,1592196543317,14212,172,10196,-1792,140,-776
tail,0,1592196543360,14208,560,9520,-1776,1106,-1520
tail,0,1592196543411,14124,496,9488,-1808,761,-2134
tail,0,1592196543460,16008,1840,7228,-1840,409,-4009
tail,0,1592196543509,14460,1324,8156,-1824,964,-1774
tail,0,1592196543559,14844,1316,8260,-1824,-365,-4285
tail,0,1592196543620,15220,1164,7988,-1808,284,-4109
tail,0,1592196543659,15412,1464,7264,-1808,-698,-5703
tail,0,1592196543709,15292,1680,7096,-1792,669,-5221
tail,0,1592196543761,15392,2040,6452,-1824,256,-6601
tail,0,1592196543809,15860,2268,5708,-1792,766,-5605
tail,0,1592196543859,16004,2708,4564,-1792,558,-6688
tail,0,1592196543909,16552,2944,3848,-1808,565,-3499
tail,0,1592196543959,15936,2868,3884,-1808,300,-5236
tail,0,1592196544009,16612,3220,3012,-1776,484,-4439
tail,0,1592196544060,16248,3544,2368,-1824,456,-4562
tail,0,1592196544109,16800,3624,2088,-1840,628,-3548
tail,0,1592196544159,16352,3644,2532,-1792,38,-3622
tail,0,1592196544209,16860,3792,1528,-1824,376,-3602
tail,0,1592196544259,16120,3968,1292,-1792,91,-1700
tail,0,1592196544309,16372,4308,636,-1776,204,-1408
tail,0,1592196544359,16380,4428,144,-1808,-489,-2507
tail,0,1592196544409,16568,3904,988,-1792,-142,-2494
tail,0,1592196544460,16504,4400,-204,-1792,-274,-2236
tail,0,1592196544517,16508,4284,184,-1824,-211,-2831
tail,0,1592196544559,16452,4636,-632,-1808,545,-2387
tail,0,1592196544610,16572,4464,-440,-1808,-251,-3654
tail,0,1592196544660,16468,4872,-1444,-1808,-230,-3225
tail,0,1592196544709,16056,4760,-1768,-1824,759,-3634
tail,0,1592196544759,16196,5048,-1664,-1792,1192,-3974
tail,0,1592196544809,15512,5100,-2300,-1808,840,-4001
tail,0,1592196544860,16032,5460,-3188,-1808,-204,-1939
tail,0,1592196544909,15984,4864,-1704,-1776,418,-982
tail,0,1592196544960,15308,5408,-2960,-1792,102,-1901
tail,0,1592196545018,15200,5560,-3384,-1824,1209,-2818
tail,0,1592196545059,15568,5708,-3740,-1792,910,-3267
tail,0,1592196545110,15096,5588,-4016,-1776,1975,-2547
tail,0,1592196545160,15012,5744,-5000,-1808,1458,-2531
tail,0,1592196545427,15648,5584,-4584,-1808,1247,-3315
tail,0,1592196545427,15372,5532,-5524,-1792,2068,-1909
tail,0,1592196545427,14652,5472,-5216,-1808,1821,-2830
tail,0,1592196545427,14600,5848,-6528,-1792,776,-2781
tail,0,1592196545427,13664,5904,-6644,-1808,-505,-3834
tail,0,1592196545529,15084,5508,-6640,-1824,-1621,-7610
tail,0,1592196545529,13768,5528,-7532,-1792,-1774,-4870
tail,0,1592196545564,14384,5476,-7784,-1792,-1443,-3688
tail,0,1592196545644,13812,5356,-7396,-1792,-684,-3702
tail,0,1592196545667,13440,5584,-8188,-1792,-972,-4306
tail,0,1592196545713,13392,5536,-7996,-1808,-859,-4598
tail,0,1592196545769,12804,5824,-9232,-1808,-1190,-5662
tail,0,1592196545813,12780,5704,-8760,-1808,-1353,-2908
tail,0,1592196545865,12088,5960,-9664,-1808,-486,-3887
tail,0,1592196545912,12352,5916,-9612,-1792,-415,-2432
tail,0,1592196545963,11868,6024,-10080,-1824,263,-2936
tail,0,1592196546013,11940,6204,-10564,-1776,-92,-2211
tail,0,1592196546084,11744,6180,-10620,-1792,-352,-2359
tail,0,1592196546113,11552,5880,-10064,-1792,111,-1069
tail,0,1592196546165,11004,6212,-10848,-1792,207,-254
tail,0,1592196546468,11492,6216,-10936,-1840,-225,-462
tail,0,1592196546469,11608,6140,-10824,-1776,-20,726
tail,0,1592196546470,11504,6180,-10832,-1808,-356,32
tail,0,1592196546470,11584,6096,-10612,-1792,-581,457
tail,0,1592196546470,11512,6064,-10488,-1808,-519,226
tail,0,1592196546470,11748,6216,-10824,-1808,-357,1588
tail,0,1592196546527,11364,6108,-10544,-1808,-72,-9
tail,0,1592196546575,11516,6004,-10368,-1792,-431,-136
tail,0,1592196546616,11352,6248,-10756,-1840,-243,-325
tail,0,1592196546666,11332,6036,-10612,-1776,-433,612
tail,0,1592196546787,11344,6184,-10780,-1840,-202,-378
tail,0,1592196546787,11564,6192,-10960,-1808,-443,-84
tail,0,1592196546818,11304,5996,-10388,-1824,-344,-1253
tail,0,1592196546865,11564,6168,-10940,-1808,-535,98
tail,0,1592196546924,11212,6168,-10480,-1792,-285,-230
tail,0,1592196546974,11648,6068,-10656,-1808,-96,1606
tail,0,1592196547016,11180,6120,-10456,-1808,230,2892
tail,0,1592196547065,12456,5456,-10316,-1808,948,5717
tail,0,1592196547116,11660,6128,-10384,-1808,2259,11527
tail,0,1592196547165,12780,5720,-9576,-1808,-276,3514
tail,0,1592196547216,13484,4916,-8160,-1808,-43,6218
tail,0,1592196547266,13512,4736,-7204,-1824,-589,3386
tail,0,1592196547333,14712,4380,-7692,-1792,65,4325
tail,0,1592196547374,14160,4400,-7140,-1792,481,4874
tail,0,1592196547416,14656,4128,-7196,-1808,1396,7688
tail,0,1592196547480,14648,4020,-6688,-1776,1041,3732
tail,0,1592196547516,16292,3288,-5804,-1776,-355,3529
tail,0,1592196547565,15280,3232,-5208,-1776,-419,2979
tail,0,1592196547616,15812,2944,-5168,-1808,-158,2263
tail,0,1592196547666,15612,3316,-5640,-1792,-1086,2505
tail,0,1592196547717,15684,3160,-4532,-1824,1354,3962
tail,0,1592196547766,16164,3084,-5228,-1792,913,5385
tail,0,1592196547817,15892,2884,-4588,-1792,-868,2065
tail,0,1592196547865,16372,2316,-3500,-1808,-1263,2713
tail,0,1592196547922,16128,2304,-3812,-1808,-75,3208
tail,0,1592196547970,16708,2504,-3416,-1776,327,2672
tail,0,1592196548016,16440,2320,-3220,-1760,-248,4129
tail,0,1592196548070,16348,2368,-2984,-1792,-301,2040
tail,0,1592196548116,16928,1880,-2376,-1824,-1168,1908
tail,0,1592196548167,16520,1524,-960,-1808,-785,3181
tail,0,1592196548215,16684,1796,-1860,-1744,-293,3357
tail,0,1592196548266,16548,1780,-1240,-1776,-546,2885
tail,0,1592196548315,16736,1448,-828,-1776,167,1970
tail,0,1592196548365,16856,1344,-688,-1808,265,2590
tail,0,1592196548415,16696,1112,-168,-1760,84,1151
tail,0,1592196548478,16924,1316,-576,-1792,429,2248
tail,0,1592196548515,16476,1256,-232,-1808,-4,1421
tail,0,1592196548565,17400,1132,-120,-1840,185,2223
tail,0,1592196548616,16760,1080,-12,-1808,46,1918
tail,0,1592196548674,16852,788,1244,-1824,235,3628
tail,0,1592196548716,16448,1092,460,-1792,-16,2537
tail,0,1592196548765,16572,828,920,-1792,-528,2119
tail,0,1592196548819,17468,376,1240,-1808,-924,1968
tail,0,1592196548865,16140,524,936,-1776,-85,2754
tail,0,1592196548920,16872,468,1412,-1808,-1133,1487
tail,0,1592196548967,16828,92,1844,-1808,-2780,2229
tail,0,1592196549016,16672,-20,2544,-1744,-1948,3409
tail,0,1592196549065,16864,152,2156,-1792,-710,4048
tail,0,1592196549115,16628,-64,2824,-1792,-1278,2899
tail,0,1592196549167,16396,-276,3272,-1808,-2121,1618
tail,0,1592196549216,17144,-828,3388,-1808,-1852,-269
tail,0,1592196549266,17264,784,2884,-1808,-4930,489
tail,0,1592196549325,16500,-612,3360,-1792,-359,1197
tail,0,1592196549366,16728,-664,3372,-1760,-269,1337
tail,0,1592196549416,16660,-628,3436,-1760,-601,1806
tail,0,1592196549465,16676,-912,4236,-1808,-110,1933
tail,0,1592196549524,16792,-1128,4168,-1776,-68,3709
tail,0,1592196549568,16168,-956,3900,-1808,-147,4045
tail,0,1592196549627,15960,-1328,4972,-1776,1035,4172
tail,0,1592196549666,16200,-1424,5440,-1776,-486,3188
tail,0,1592196549715,15920,-1488,5392,-1792,-825,2653
tail,0,1592196549765,15964,-1960,6324,-1776,-136,2415
tail,0,1592196549815,15500,-1808,6112,-1792,-166,2788
tail,0,1592196549867,15768,-1784,6248,-1824,-741,2924
tail,0,1592196549916,15520,-2152,6956,-1808,-1582,2972
tail,0,1592196549966,15084,-2168,6820,-1808,304,3145
tail,0,1592196550016,15292,-2384,7112,-1776,-87,4242
tail,0,1592196550068,14728,-2500,7596,-1776,-1198,4281
tail,0,1592196550117,14900,-2864,8184,-1760,-1089,2231
tail,0,1592196550166,14852,-2968,8596,-1792,-779,2647
tail,0,1592196550216,14252,-3064,8712,-1824,-139,2250
tail,0,1592196550290,14520,-3000,8672,-1776,-114,1553
tail,0,1592196550317,14492,-3080,8876,-1808,-236,2543
tail,0,1592196550366,13760,-3172,9384,-1776,-767,1687
